ExpenseID,Date,Group,Expense,Category,Paid By,Amount ($),Split Type,Member,Share ($)
2025-11-14_00:00_tysons_shotted,2025-11-14 00:00,iddaru,tysons shotted,🛒 Groceries,sharath,10.0,Equal split,nikhil,10.0
2025-11-16_00:00_dunkin,2025-11-16 00:00,iddaru,dunkin,🛒 Groceries,sharath,10.0,Equal split,nikhil,10.0
2025-11-17_00:00_shell,2025-11-17 00:00,iddaru,shell,🛒 Groceries,sharath,5.0,Equal split,nikhil,5.0
2025-11-26_00:00_starbucks,2025-11-26 00:00,iddaru,starbucks,🛒 Groceries,sharath,20.0,Equal split,nikhil,20.0
2026-01-14_00:00_walmart_oil_filter,2026-01-14 00:00,iddaru,walmart oil filter,🛒 Groceries,sharath,18.0,Equal split,nikhil,18.0
"2026-01-22_00:00_amazon_fresh_eggs,_bread",2026-01-22 00:00,iddaru,"amazon fresh eggs, bread",🛒 Groceries,sharath,14.21,Equal split,nikhil,14.21
2026-12-10_00:00_Toll,2026-12-10 00:00,iddaru,Toll,🛒 Groceries,sharath,11.0,Equal split,nikhil,11.0
2026-12-13_00:00_dunkin,2026-12-13 00:00,iddaru,dunkin,🛒 Groceries,sharath,4.0,Equal split,nikhil,4.0
2026-12-22_00:00_spotify,2026-12-22 00:00,iddaru,spotify,🛒 Groceries,sharath,20.0,Equal split,sharath,10.0
2026-12-22_00:00_spotify,2026-12-22 00:00,iddaru,spotify,🛒 Groceries,sharath,20.0,Equal split,nikhil,10.0
2026-01-01_00:00_1942_DC,2026-01-01 00:00,iddaru,1942 DC,🛒 Groceries,sharath,20.09,Equal split,nikhil,20.09
2026-01-01_00:00_uber_to_DC_(Sudhouse),2026-01-01 00:00,iddaru,uber to DC (Sudhouse),🛒 Groceries,sharath,40.0,Equal split,sharath,20.0
2026-01-01_00:00_uber_to_DC_(Sudhouse),2026-01-01 00:00,iddaru,uber to DC (Sudhouse),🛒 Groceries,sharath,40.0,Equal split,nikhil,20.0
2026-01-14_00:00_layered,2026-01-14 00:00,iddaru,layered,🛒 Groceries,sharath,9.0,Equal split,nikhil,9.0
2026-01-16_00:00_chateau,2026-01-16 00:00,iddaru,chateau,🛒 Groceries,sharath,8.0,Equal split,nikhil,8.0
2026-01-19_00:00_desi_chowrasta,2026-01-19 00:00,iddaru,desi chowrasta,🛒 Groceries,sharath,10.0,Equal split,nikhil,10.0
2026-01-20_00:00_layered,2026-01-20 00:00,iddaru,layered,🛒 Groceries,sharath,6.0,Equal split,nikhil,6.0
2026-01-22_00:00_spotify,2026-01-22 00:00,iddaru,spotify,🛒 Groceries,sharath,20.0,Equal split,sharath,10.0
2026-01-22_00:00_spotify,2026-01-22 00:00,iddaru,spotify,🛒 Groceries,sharath,20.0,Equal split,nikhil,10.0
2026-01-24_00:00_shake_shack,2026-01-24 00:00,iddaru,shake shack,🛒 Groceries,sharath,30.22,Equal split,nikhil,30.22
2026-01-26_00:00_eggholic,2026-01-26 00:00,iddaru,eggholic,🛒 Groceries,sharath,9.0,Equal split,nikhil,9.0
2026-01-27_00:00_chateau,2026-01-27 00:00,iddaru,chateau,🛒 Groceries,sharath,19.0,Equal split,nikhil,19.0
2026-01-28_00:00_foundation_café,2026-01-28 00:00,iddaru,foundation café,🛒 Groceries,sharath,13.0,Equal split,nikhil,13.0
2026-03-06_16:15_Imported_Expense,2026-03-06 16:15,iddaru,Imported Expense,🛒 Groceries,sharath,,Equal split,sharath,
2026-03-06_16:15_Imported_Expense,2026-03-06 16:15,iddaru,Imported Expense,🛒 Groceries,sharath,,Equal split,nikhil,
2026-03-06_16:15_Imported_Expense,2026-03-06 16:15,iddaru,Imported Expense,🛒 Groceries,sharath,,Equal split,sharath,
2026-03-06_16:15_Imported_Expense,2026-03-06 16:15,iddaru,Imported Expense,🛒 Groceries,sharath,,Equal split,nikhil,
2025-11-15_00:00_layered,2025-11-15 00:00,iddaru,layered,🛒 Groceries,sharath,4.0,Equal split,nikhil,4.0
2025-11-15_00:00_claypot_party,2025-11-15 00:00,iddaru,claypot party,🛒 Groceries,sharath,132.0,Equal split,sharath,66.0
2025-11-15_00:00_claypot_party,2025-11-15 00:00,iddaru,claypot party,🛒 Groceries,sharath,132.0,Equal split,nikhil,66.0
2025-11-17_00:00_safeway,2025-11-17 00:00,iddaru,safeway,🛒 Groceries,sharath,9.0,Equal split,nikhil,9.0
2025-11-17_00:00_shotted_galeria,2025-11-17 00:00,iddaru,shotted galeria,🛒 Groceries,sharath,14.0,Equal split,nikhil,14.0
2025-11-24_00:00_hyderabad_house,2025-11-24 00:00,iddaru,hyderabad house,🛒 Groceries,sharath,37.0,Equal split,nikhil,37.0
2025-11-25_00:00_layered,2025-11-25 00:00,iddaru,layered,🛒 Groceries,sharath,9.0,Equal split,nikhil,9.0
2025-11-26_00:00_amc,2025-11-26 00:00,iddaru,amc,🛒 Groceries,sharath,20.0,Equal split,nikhil,20.0
2025-11-25_00:00_amazon,2025-11-25 00:00,iddaru,amazon,🛒 Groceries,sharath,16.1,Equal split,sharath,8.05
2025-11-25_00:00_amazon,2025-11-25 00:00,iddaru,amazon,🛒 Groceries,sharath,16.1,Equal split,nikhil,8.05
2025-11-29_00:00_claypot,2025-11-29 00:00,iddaru,claypot,🛒 Groceries,sharath,44.0,Equal split,nikhil,44.0
2025-12-01_00:00_Safeway,2025-12-01 00:00,iddaru,Safeway,🛒 Groceries,sharath,25.0,Equal split,nikhil,25.0
2025-12-02_00:00_Nike_Hoodie,2025-12-02 00:00,iddaru,Nike Hoodie,🛒 Groceries,sharath,45.0,Equal split,nikhil,45.0
2026-12-29_00:00_costco_water_x4,2026-12-29 00:00,iddaru,costco water x4,🛒 Groceries,sharath,16.5,Equal split,nikhil,16.5
2026-12-03_00:00_shotted_galeria,2026-12-03 00:00,iddaru,shotted galeria,🛒 Groceries,sharath,9.0,Equal split,nikhil,9.0
2026-12-05_00:00_costco,2026-12-05 00:00,iddaru,costco,🛒 Groceries,sharath,62.92,Equal split,nikhil,62.92
2026-12-07_00:00_starbucks,2026-12-07 00:00,iddaru,starbucks,🛒 Groceries,sharath,6.0,Equal split,sharath,3.0
2026-12-07_00:00_starbucks,2026-12-07 00:00,iddaru,starbucks,🛒 Groceries,sharath,6.0,Equal split,nikhil,3.0
2026-12-07_00:00_hyderabad_house,2026-12-07 00:00,iddaru,hyderabad house,🛒 Groceries,sharath,46.64,Equal split,sharath,23.32
2026-12-07_00:00_hyderabad_house,2026-12-07 00:00,iddaru,hyderabad house,🛒 Groceries,sharath,46.64,Equal split,nikhil,23.32
2026-12-09_00:00_layered,2026-12-09 00:00,iddaru,layered,🛒 Groceries,sharath,11.0,Equal split,nikhil,11.0
2026-12-09_00:00_layered,2026-12-09 00:00,iddaru,layered,🛒 Groceries,sharath,16.54,Equal split,nikhil,16.54
2026-12-09_00:00_regal,2026-12-09 00:00,iddaru,regal,🛒 Groceries,sharath,19.98,Equal split,sharath,9.99
2026-12-09_00:00_regal,2026-12-09 00:00,iddaru,regal,🛒 Groceries,sharath,19.98,Equal split,nikhil,9.99
2026-12-11_00:00_chick_fil_a,2026-12-11 00:00,iddaru,chick fil a,🛒 Groceries,sharath,10.88,Equal split,sharath,5.44
2026-12-11_00:00_chick_fil_a,2026-12-11 00:00,iddaru,chick fil a,🛒 Groceries,sharath,10.88,Equal split,nikhil,5.44
2026-12-15_00:00_haagen-Dazs,2026-12-15 00:00,iddaru,haagen-Dazs,🛒 Groceries,sharath,11.12,Equal split,nikhil,11.12
2026-12-15_00:00_desi_chowrastha,2026-12-15 00:00,iddaru,desi chowrastha,🛒 Groceries,sharath,18.4,Equal split,nikhil,18.4
2026-12-16_00:00_foundation,2026-12-16 00:00,iddaru,foundation,🛒 Groceries,sharath,6.5,Equal split,nikhil,6.5
2026-12-16_00:00_costco,2026-12-16 00:00,iddaru,costco,🛒 Groceries,sharath,30.33,Equal split,nikhil,30.33
2026-12-16_00:00_chick_fil_a,2026-12-16 00:00,iddaru,chick fil a,🛒 Groceries,sharath,21.76,Equal split,nikhil,21.76
2026-12-17_00:00_hyderabad_house,2026-12-17 00:00,iddaru,hyderabad house,🛒 Groceries,sharath,44.52,Equal split,nikhil,44.52
2026-12-20_00:00_starbucks,2026-12-20 00:00,iddaru,starbucks,🛒 Groceries,sharath,10.0,Equal split,nikhil,10.0
2026-12-21_00:00_layered,2026-12-21 00:00,iddaru,layered,🛒 Groceries,sharath,10.56,Equal split,nikhil,10.56
2026-12-21_00:00_citgo_fuel,2026-12-21 00:00,iddaru,citgo fuel,🛒 Groceries,sharath,4.85,Equal split,nikhil,4.85
2026-12-23_00:00_la_chiquita,2026-12-23 00:00,iddaru,la chiquita,🛒 Groceries,sharath,20.51,Equal split,nikhil,20.51
2026-12-27_00:00_chick_fil_a,2026-12-27 00:00,iddaru,chick fil a,🛒 Groceries,sharath,10.88,Equal split,nikhil,10.88
2026-12-29_00:00_shotted,2026-12-29 00:00,iddaru,shotted,🛒 Groceries,sharath,15.28,Equal split,nikhil,15.28
2026-12-29_00:00_costco,2026-12-29 00:00,iddaru,costco,🛒 Groceries,sharath,16.12,Equal split,nikhil,16.12
2026-12-29_00:00_tiffin_hut,2026-12-29 00:00,iddaru,tiffin hut,🛒 Groceries,sharath,10.85,Equal split,sharath,5.42
2026-12-29_00:00_tiffin_hut,2026-12-29 00:00,iddaru,tiffin hut,🛒 Groceries,sharath,10.85,Equal split,nikhil,5.42
2026-12-30_00:00_foundation,2026-12-30 00:00,iddaru,foundation,🛒 Groceries,sharath,6.5,Equal split,sharath,3.25
2026-12-30_00:00_foundation,2026-12-30 00:00,iddaru,foundation,🛒 Groceries,sharath,6.5,Equal split,nikhil,3.25
2026-12-31_00:00_desi_chowrastha,2026-12-31 00:00,iddaru,desi chowrastha,🛒 Groceries,sharath,30.0,Equal split,nikhil,30.0
2026-12-31_00:00_V_ABC_(GG-27$_&_Jameson-26$),2026-12-31 00:00,iddaru,V ABC (GG-27$ & Jameson-26$),🛒 Groceries,sharath,55.0,Equal split,nikhil,55.0
2026-12-31_00:00_7_eleven_(coke),2026-12-31 00:00,iddaru,7 eleven (coke),🛒 Groceries,sharath,4.0,Equal split,nikhil,4.0
2026-01-02_00:00_foundation,2026-01-02 00:00,iddaru,foundation,🛒 Groceries,sharath,14.0,Equal split,nikhil,14.0
2026-01-03_00:00_chick_fil_a,2026-01-03 00:00,iddaru,chick fil a,🛒 Groceries,sharath,21.76,Equal split,nikhil,21.76
2026-01-05_00:00_hyderabad_house,2026-01-05 00:00,iddaru,hyderabad house,🛒 Groceries,sharath,31.9,Equal split,sharath,15.95
2026-01-05_00:00_hyderabad_house,2026-01-05 00:00,iddaru,hyderabad house,🛒 Groceries,sharath,31.9,Equal split,nikhil,15.95
2026-01-06_00:00_layered,2026-01-06 00:00,iddaru,layered,🛒 Groceries,sharath,8.74,Equal split,nikhil,8.74
2026-01-08_00:00_chick_fil_a,2026-01-08 00:00,iddaru,chick fil a,🛒 Groceries,sharath,23.0,Equal split,nikhil,23.0
2026-01-08_00:00_foundation,2026-01-08 00:00,iddaru,foundation,🛒 Groceries,sharath,6.5,Equal split,sharath,3.25
2026-01-08_00:00_foundation,2026-01-08 00:00,iddaru,foundation,🛒 Groceries,sharath,6.5,Equal split,nikhil,3.25
2026-01-10_00:00_hyderabad_house,2026-01-10 00:00,iddaru,hyderabad house,🛒 Groceries,sharath,34.62,Equal split,nikhil,34.62
